;;;Direct and indirect emissions from exterior resources;Price of exterior resources;Direct emissions;
;;units;[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;gwp_op_exterior;c_op_exterior;co2_net;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0.412971429;0.063732;0;
Non-renewable;Fossil fuel;GASOLINE;0.3448;0.124118331;0.25;
Non-renewable;Fossil fuel;DIESEL;0.3148;0.111311495;0.27;
Renewable;Renewable fuel;BIOETHANOL;0;0.122502774;0.25;
Renewable;Renewable fuel;BIODIESEL;0;0.131394244;0.27;
Non-renewable;Fossil fuel;LFO;0.3115;0.085115655;0.26;
Non-renewable;Fossil fuel;GAS;0.2666;0.010662519;0.2;
Renewable;Renewable fuel;GAS_RE;0;0.132345636;0.2;
Renewable;Biomass;WOOD;0.0118;0.016980597;0.39;
Renewable;Biomass;WET_BIOMASS;0.0118;0.010318121;0.39;
Non-renewable;Fossil fuel;COAL;0.4014;0.015545445;0.36;
Non-renewable;Other non-renewable;URANIUM;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;0.1501;0.021187834;0.26;
Non-renewable;Other non-renewable;H2;0.414044616;0.077642645;0;
Renewable;Renewable fuel;H2_RE;0;0.137854413;0;
Non-renewable;Other non-renewable;AMMONIA;0.285;0.071991938;0;
Non-renewable;Other non-renewable;METHANOL;0.35;0.081184572;0.24570329;
Renewable;Renewable fuel;AMMONIA_RE;0;0.092751343;0;
Renewable;Renewable fuel;METHANOL_RE;0;0.122502774;0.24570329;
Export;Export;CO2_EMISSIONS;0;0;0;
Renewable;Non-biomass;RES_WIND;0;0;0;
Renewable;Non-biomass;RES_SOLAR;0;0;0;
Renewable;Non-biomass;RES_HYDRO;0;0;0;
Renewable;Non-biomass;RES_GEO;0;0;0;
Others;Others;CO2_ATM ;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
Non-renewable;Fossil fuel;LPG;0.28360908;0.021578745;0.21276;
