;;;Local availability;Exterior availability;Direct and indirect emissions for local resource;Price for local resource;
;;units;[GWh/y];[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
Renewable;Biomass;WOOD;12045;0;0.0118;0.016980597;
Renewable;Biomass;WET_BIOMASS;1325.003223;0;0.0118;0.010318121;
Non-renewable;Other non-renewable;WASTE;0;0;0.1501;0.021187834;
Non-renewable;Other non-renewable;ELECTRICITY;0;0;0.412971429;0.063732;
Non-renewable;Fossil fuel;GASOLINE;0;1.00E+15;0.3448;0.124118331;
Non-renewable;Fossil fuel;DIESEL;0;1.00E+15;0.3148;0.111311495;
Renewable;Renewable fuel;BIOETHANOL;0;0;0;0.122502774;
Renewable;Renewable fuel;BIODIESEL;0;0;0;0.131394244;
Non-renewable;Fossil fuel;LFO;0;1.00E+15;0.3115;0.085115655;
Non-renewable;Fossil fuel;GAS;477.4322454;0;0.2666;0.010662519;
Renewable;Renewable fuel;GAS_RE;0;0;0;0.132345636;
Non-renewable;Fossil fuel;COAL;0;0;0.4014;0.015545445;
Non-renewable;Other non-renewable;URANIUM;0;0;0.0039;0.003876456;
Non-renewable;Other non-renewable;H2;0;0;0.414044616;0.077642645;
Renewable;Renewable fuel;H2_RE;0;0;0;0.137854413;
Non-renewable;Other non-renewable;AMMONIA;0;0;0.285;0.071991938;
Non-renewable;Other non-renewable;METHANOL;0;0;0.35;0.081184572;
Renewable;Renewable fuel;AMMONIA_RE;0;0;0;0.092751343;
Renewable;Renewable fuel;METHANOL_RE;0;0;0;0.122502774;
Export;Export;CO2_EMISSIONS;1.00E+15;1.00E+15;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;1.00E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;1.00E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;1.00E+15;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;1.00E+15;0;0;
Others;Others;CO2_ATM ;1.00E+15;1.00E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0.00E+00;0;0;
Others;Others;CO2_CAPTURED;0;0.00E+00;0;0;
Non-renewable;Fossil fuel;LPG;0;1.00E+15;0.28360908;0.021578745;
